metric,metric_label,index,lag_months,pearson_r,pearson_p,pearson_p_neff,spearman_r,spearman_p,spearman_p_neff,n,n_eff,sig_pearson_nom,sig_spearman_nom,sig_pearson,sig_spearman
max_anomaly,Anomalie max moy. (sigma),IOD,2,-0.2541,0.0212,0.0221,-0.242,0.0285,0.0295,82,81,*,*,*,*
max_anomaly,Anomalie max moy. (sigma),IOBM,2,-0.2303,0.0374,0.0399,-0.1696,0.1278,0.1327,82,80,*,,*,
max_anomaly,Anomalie max moy. (sigma),TNA,2,0.0499,0.656,0.6621,0.0468,0.6765,0.6823,82,79,,,,
max_anomaly,Anomalie max moy. (sigma),TSA,2,0.0569,0.6116,0.6207,0.0588,0.5999,0.6092,82,78,,,,
max_anomaly,Anomalie max moy. (sigma),ATL3,2,0.0066,0.9533,0.9542,0.0209,0.8524,0.8552,82,79,,,,
max_anomaly,Anomalie max moy. (sigma),AMM,2,0.0017,0.9876,0.9879,0.0599,0.593,0.6001,82,79,,,,
max_anomaly,Anomalie max moy. (sigma),AMO,2,0.0375,0.738,0.7428,0.0937,0.4025,0.4116,82,79,,,,
coverage_percent,Couverture spatiale moy. (%),Nino12,2,-0.0823,0.4623,0.4651,-0.1,0.3715,0.3746,82,81,,,,
coverage_percent,Couverture spatiale moy. (%),Nino3,2,-0.1029,0.3574,0.3604,-0.0972,0.3848,0.3878,82,81,,,,
coverage_percent,Couverture spatiale moy. (%),Nino34,2,-0.1517,0.1736,0.1764,-0.0639,0.5683,0.5708,82,81,,,,
coverage_percent,Couverture spatiale moy. (%),Nino4,2,-0.1806,0.1045,0.1067,-0.0569,0.6118,0.6141,82,81,,,,
coverage_percent,Couverture spatiale moy. (%),IOD,2,-0.0752,0.502,0.502,-0.057,0.6109,0.6109,82,82,,,,
coverage_percent,Couverture spatiale moy. (%),IOBM,2,-0.0157,0.8888,0.8888,0.011,0.9217,0.9217,82,82,,,,
coverage_percent,Couverture spatiale moy. (%),TNA,2,0.1688,0.1294,0.1319,0.1907,0.0861,0.0881,82,81,,,,
coverage_percent,Couverture spatiale moy. (%),TSA,2,0.0951,0.3955,0.3985,0.0338,0.763,0.7644,82,81,,,,
coverage_percent,Couverture spatiale moy. (%),ATL3,2,0.0763,0.4959,0.4986,0.0983,0.3797,0.3827,82,81,,,,
coverage_percent,Couverture spatiale moy. (%),AMM,2,0.0701,0.5313,0.5339,0.1361,0.2226,0.2256,82,81,,,,
coverage_percent,Couverture spatiale moy. (%),AMO,2,0.1413,0.2053,0.2082,0.1648,0.1389,0.1414,82,81,,,,
n_events,Nombre d evenements,Nino12,2,-0.1354,0.2254,0.2604,-0.089,0.4266,0.4605,82,71,,,,
n_events,Nombre d evenements,Nino3,2,-0.1787,0.1083,0.136,-0.166,0.1362,0.1666,82,71,,,,
n_events,Nombre d evenements,Nino34,2,-0.1758,0.1141,0.1454,-0.1811,0.1034,0.1335,82,70,,,,
n_events,Nombre d evenements,Nino4,2,-0.1501,0.1784,0.2184,-0.1663,0.1355,0.1721,82,69,,,,
n_events,Nombre d evenements,IOD,2,0.011,0.922,0.9235,0.0211,0.8507,0.8535,82,79,,,,
n_events,Nombre d evenements,IOBM,2,-0.0574,0.6085,0.6247,-0.0305,0.7859,0.7953,82,75,,,,
n_events,Nombre d evenements,TNA,2,0.0343,0.7595,0.7763,-0.0251,0.8227,0.8352,82,71,,,,
n_events,Nombre d evenements,TSA,2,0.1329,0.2339,0.2692,0.0588,0.6,0.6264,82,71,,,,
n_events,Nombre d evenements,ATL3,2,0.14,0.2095,0.2407,0.0725,0.5172,0.5448,82,72,,,,
n_events,Nombre d evenements,AMM,2,-0.0607,0.588,0.6151,-0.0194,0.8625,0.8723,82,71,,,,
n_events,Nombre d evenements,AMO,2,0.1224,0.2735,0.3094,0.1218,0.2758,0.3118,82,71,,,,
max_precip,Precipitation max mensuel (mm),Nino12,3,-0.1443,0.1959,0.1959,-0.0855,0.4449,0.4449,82,82,,,,
max_precip,Precipitation max mensuel (mm),Nino3,3,-0.209,0.0596,0.0596,-0.1442,0.1963,0.1963,82,82,,,,
max_precip,Precipitation max mensuel (mm),Nino34,3,-0.1467,0.1883,0.1883,-0.0648,0.5628,0.5628,82,82,,,,
max_precip,Precipitation max mensuel (mm),Nino4,3,-0.0786,0.4827,0.4827,-0.025,0.8239,0.8239,82,82,,,,
max_precip,Precipitation max mensuel (mm),IOD,3,-0.0002,0.9989,0.9989,-0.0221,0.8434,0.8434,82,82,,,,
max_precip,Precipitation max mensuel (mm),IOBM,3,-0.0997,0.3726,0.3726,-0.0276,0.8056,0.8056,82,82,,,,
max_precip,Precipitation max mensuel (mm),TNA,3,-0.1442,0.1962,0.1962,-0.0575,0.6076,0.6076,82,82,,,,
max_precip,Precipitation max mensuel (mm),TSA,3,0.1453,0.1928,0.1928,0.2165,0.0508,0.0508,82,82,,,,
max_precip,Precipitation max mensuel (mm),ATL3,3,0.2377,0.0315,0.0315,0.2861,0.0092,0.0092,82,82,*,**,*,**
max_precip,Precipitation max mensuel (mm),AMM,3,-0.2128,0.0549,0.0549,-0.1457,0.1917,0.1917,82,82,,,,
max_precip,Precipitation max mensuel (mm),AMO,3,-0.1516,0.174,0.174,-0.0651,0.5615,0.5615,82,82,,,,
